City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,codrington,-38.2667,141.9667,55.99,69,96,15.79,AU,1686624710
188,sagaing,21.8787,95.9797,87.98,70,75,8.05,MM,1686624710
189,pozoblanco,38.3791,-4.8483,59.92,78,42,3.62,ES,1686624710
190,zhangye,38.9342,100.4517,86.72,11,0,13.73,CN,1686624710
191,bambous virieux,-20.3428,57.7575,74.21,94,40,4.61,MU,1686624710
192,devils lake,48.1128,-98.8651,73.38,46,0,5.75,US,1686624438
193,makakilo city,21.3469,-158.0858,86.32,56,75,19.57,US,1686624710
194,salalah,17.0151,54.0924,84.29,94,75,3.44,OM,1686624710
195,todos santos,23.45,-110.2167,67.66,74,1,4.29,MX,1686624711
196,camacha,33.0833,-16.3333,62.02,77,40,5.75,PT,1686624711
197,beringovskiy,63.05,179.3167,51.49,68,28,5.77,RU,1686624711
198,xining,36.6167,101.7667,64.02,47,65,2.06,CN,1686624711
199,betioky,-23.7167,44.3833,57.58,97,2,2.98,MG,1686624711
200,juneau,58.3019,-134.4197,53.6,84,100,6.91,US,1686624635
201,ahuimanu,21.4447,-157.8378,87.51,71,75,19.57,US,1686624711
202,ahipara,-35.1667,173.1667,63.82,67,72,11.65,NZ,1686624711
203,sterling,39.0062,-77.4286,67.19,78,20,9.22,US,1686624617
204,haines junction,60.7522,-137.5108,55.35,35,15,16.11,CA,1686624711
205,ponta do sol,32.6667,-17.1,66.83,82,91,1.12,PT,1686624711
206,north battleford,52.7834,-108.2847,75.29,64,0,4.61,CA,1686624481
207,coswig,51.1333,13.5833,60.28,84,0,2.3,DE,1686624712
208,dunedin,-45.8742,170.5036,54.81,64,60,5.99,NZ,1686624712
209,saravan,39.7196,45.6483,61.52,70,7,5.14,AM,1686624712
210,asau,46.4333,26.4,52.72,85,100,2.89,RO,1686624712
211,leningradskiy,69.3833,178.4167,43.39,86,100,6.93,RU,1686624712
212,tonj,7.2737,28.6822,73.38,69,87,4.0,SS,1686624712
213,araouane,18.9048,-3.5265,83.77,52,5,9.48,ML,1686624712
214,ponta delgada,37.7333,-25.6667,66.92,100,100,9.22,PT,1686624712
215,nikolskoye,59.7035,30.7861,54.81,59,8,3.91,RU,1686624712
216,bubaque,11.2833,-15.8333,79.43,83,100,7.87,GW,1686624712
217,san patricio,28.017,-97.5169,82.89,86,54,13.4,US,1686624713
218,rudsar,37.1376,50.288,71.58,74,12,2.77,IR,1686624713
219,kapit,2.0167,112.9333,91.02,54,16,1.32,MY,1686624713
220,whitianga,-36.8333,175.7,57.09,58,0,5.55,NZ,1686624713
221,sungairaya,0.7,108.9,87.66,60,33,3.91,ID,1686624713
222,ciudad bolivar,8.1222,-63.5497,80.26,79,97,10.87,VE,1686624713
223,talnakh,69.4865,88.3972,51.42,62,89,5.37,RU,1686624713
