City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,nieuw nickerie,5.95,-56.9833,24.52,86,85,4.13,SR,1675915044
319,sitka,57.0531,-135.33,3.94,70,100,5.66,US,1675914877
320,katy,29.7858,-95.8244,9.97,91,0,0.89,US,1675914651
321,pochutla,15.7432,-96.4661,24.9,56,0,1.86,MX,1675915045
322,belmonte,-15.8631,-38.8828,24.8,78,74,3.3,BR,1675915046
323,auki,-8.7676,160.7034,29.34,69,99,1.91,SB,1675914885
324,galt,38.2546,-121.3,12.23,76,62,1.56,US,1675915047
325,tigzirt,36.8886,4.1198,10.26,81,100,5.26,DZ,1675915049
326,chiang rai,19.9167,99.9167,26.68,57,5,1.54,TH,1675915051
327,belomorsk,64.5232,34.7668,2.02,81,100,8.77,RU,1675915052
328,zhigansk,66.7697,123.3711,-40.4,95,100,4.56,RU,1675914987
329,santa fe,-31.6333,-60.7,25.0,75,92,0.89,AR,1675914954
330,caravelas,-17.7125,-39.2481,23.97,87,41,2.33,BR,1675914943
331,vazante,-17.9869,-46.9078,20.99,86,92,0.52,BR,1675914767
332,talara,-4.5772,-81.2719,24.17,83,78,2.8,PE,1675914946
333,kokopo,-4.352,152.2633,29.49,63,89,4.91,PG,1675915053
334,weligama,5.9667,80.4167,28.03,68,35,1.38,LK,1675915053
335,tamandare,-8.7597,-35.1047,25.18,81,89,2.18,BR,1675915054
336,trairi,-3.2778,-39.2689,24.65,79,100,2.68,BR,1675914897
337,kidal,18.4411,1.4078,22.11,15,0,4.27,ML,1675914839
338,aksu,41.1231,80.2644,-1.69,66,60,1.01,CN,1675915054
339,nileshwar,12.25,75.1,26.79,72,76,1.8,IN,1675915054
340,vestmanna,62.1564,-7.1664,1.51,64,75,13.89,FO,1675915055
341,wagar,16.1525,36.2032,16.94,76,45,6.75,SD,1675915055
342,camopi,3.1655,-52.3158,22.08,100,100,0.93,GF,1675915045
343,athabasca,54.7169,-113.2854,-5.77,88,7,3.08,CA,1675915056
344,remontnoye,46.5614,43.6501,-13.25,97,37,2.53,RU,1675915056
345,vestmannaeyjar,63.4427,-20.2734,-1.4,57,100,15.07,IS,1675914813
346,warrnambool,-38.3833,142.4833,20.98,64,3,4.14,AU,1675915057
347,adrar,20.5022,-10.0711,19.11,16,97,3.31,MR,1675914848
348,pombia,45.653,8.6336,-0.02,60,75,2.06,IT,1675915057
349,aleksandrovka,46.8383,32.7612,-6.59,76,5,4.84,UA,1675915057
350,port shepstone,-30.7414,30.455,22.01,80,100,9.12,ZA,1675915058
351,antofagasta,-23.65,-70.4,20.6,84,38,1.86,CL,1675914774
352,kulhudhuffushi,6.6221,73.07,26.5,73,58,2.3,MV,1675915058
353,te anau,-45.4167,167.7167,15.83,38,41,1.38,NZ,1675914916
354,naugachhia,25.4,87.1,20.88,39,0,2.99,IN,1675915059
355,plettenberg bay,-34.0527,23.3716,17.94,83,13,2.16,ZA,1675914820
356,nalut,30.3333,10.85,7.34,89,59,7.52,LY,1675914946
357,bengkulu,-3.8004,102.2655,28.52,63,96,2.2,ID,1675914950
358,ongwediva,-17.7833,15.7667,22.12,57,66,4.74,,1675915059
359,hamilton,39.1834,-84.5333,10.4,94,100,4.12,US,1675914824
360,portobelo,9.55,-79.65,23.95,86,56,7.29,PA,1675915060
361,richards bay,-28.783,32.0377,22.18,89,100,4.59,ZA,1675914717
362,bonoua,5.2741,-3.595,25.79,92,94,1.19,CI,1675915060
363,port elizabeth,-33.918,25.5701,20.73,93,75,1.03,ZA,1675914878
